codigo_estacion,nombre,latitud,longitud
05426004,Quillota,-32.8958,-71.2092
05427006,Lliu-Lliu Embalse,-33.0986,-71.2144
05427007,Los Aromos,-32.9578,-71.345
05427008,Quebrada Alvarado,-33.0506,-71.1
05500001,Las Piedras,-33.1542,-71.3428
05500003,Las Salinas,-33.0019,-71.5467
05510001,Rodelillo,-33.0503,-71.5833
05510002,Lago Peuelas,-33.145,-71.5553
05510005,Cerro Colorado Armada De Chile,-33.0819,-71.6169
05520001,Casablanca,-33.3278,-71.4131
05520002,Tapihue,-33.2897,-71.2914
05530002,San Antonio (Pta. Panul),-33.5747,-71.625
05530003,Lagunillas,-33.4394,-71.4506
05530005,Algarrobo,-33.4389,-71.6239
05702001,Rio Volcan En Queltehues,-33.8056,-70.2089
05702011,Glaciar San Franciscoen Aguas Panimavida,-33.8053,-70.07
05703008,El Yeso Embalse,-33.6767,-70.0886
05704002,Rio Maipo En San Alfonso,-33.7347,-70.3008
05704004,San Gabriel,-33.7825,-70.2394
05704006,San Jose De Maipo Reten,-33.6361,-70.3531
05705001,Rio Colorado Antes Junta Rio Olivares,-33.49,-70.1342
05706001,Rio Olivares Antes Junta Rio Colorado,-33.4878,-70.1367
05706003,Valle Olivares,-33.1869,-70.1122
05707003,Maitenes Bocatoma,-33.5311,-70.2617
05710001,Rio Maipo En El Manzano,-33.5939,-70.3792
05710007,La Obra Recinto Emos,-33.5914,-70.4853
05711003,Pirque,-33.6736,-70.5869
05716001,Rio Angostura En Valdivia De Paine,-33.8111,-70.8836
05716005,Laguna Aculeo,-33.8858,-70.8775
05717008,El Vergel,-33.6958,-70.9236
05720001,Rio Molina Antes Junta San Francisco,-33.3733,-70.3961
05721001,Estero Yerba Loca Antes Junta San Francisco,-33.3414,-70.3636
05721016,Rio San Francisco Antes Junta Estero Yerba Loca,-33.3086,-70.3572
05721017,Estero Yerba Loca En Piedra Carvajal,-33.2214,-70.2736
05722001,Estero Arrayan En La Montosa,-33.3256,-70.4561
05722002,Rio Mapocho En Los Almendros,-33.3703,-70.4508
05730008,Quebrada Ramon En Recinto Emos,-33.4331,-70.5142
05730012,Cerro Calan,-33.395,-70.5367
05730013,Antupiren,-33.4964,-70.5164
05730016,Terraza Oficinas Centrales Dga,-33.4486,-70.6444
05730039,Quebrada De Macul,-33.5017,-70.5144
05732001,Huechun Embalse,-33.0856,-70.8017
05732002,Huechun Andina,-33.0758,-70.7686
05733006,Rincon De Los Valles,-32.9475,-70.7536
05733007,Caleu,-33.0053,-70.9933
05733008,Rungue Embalse,-33.0194,-70.9081
05733010,Fundo Las Bateas,-32.9472,-70.8064
05737002,Rio Mapocho Rinconada De Maipu,-33.4961,-70.8167
05737008,Fundo Marruecos,-33.5503,-70.8167
05740004,Carmen De Las Rosas,-33.7597,-71.1514
05740005,Melipilla,-33.6803,-71.1997
05741002,Colliguay,-33.1686,-71.1467
05744002,Los Panguiles,-33.4386,-71.0256
05744003,Ibacache Alto,-33.4797,-71.2811
05745001,Mallarauco,-33.5697,-71.1061
05746001,Estero Puangue En Ruta 78,-33.6614,-71.3372
05747001,Los Guindos,-33.8908,-71.2408
05748001,Rio Maipo En Cabimbao,-33.7219,-71.555
05748003,Cerrillos De Leyda,-33.6344,-71.5106
05800002,Fundo Las Dos Puertas,-33.8622,-71.6631
06000003,Rio Las Leas Ante Junta Rio Cachapoal,-34.3628,-70.3056
06000004,Laguna El Yeso,-34.4078,-70.21
06003001,Rio Cachapoal 5 Km. Aguas Abajo Junta Cortaderal,-34.3464,-70.3764
06003004,Glaciar Cipreses,-34.5322,-70.4153
06006001,Rio Pangal En Pangal,-34.2467,-70.3281
06008009,Canal Sauzal En Puente Termas,-34.2403,-70.5506
06010015,Rancagua (Cachapoal - Dcp),-34.1908,-70.7508
06011001,Estero De La Cadena Antes Junta Rio Cachapoal,-34.1842,-70.8436
06012003,Coltauco,-34.2875,-71.08
06013001,Rio Claro En Hacienda Las Nieves,-34.4922,-70.7028
06013005,Popeta,-34.4369,-70.7794
06013008,Laguna Los Cristales,-34.5606,-70.5097
06015003,Rengo,-34.4217,-70.8667
06016004,San Fernando,-34.5983,-70.9686
06018010,Millahue,-34.5264,-71.2122
06019003,Rio Cachapoal En Puente Arqueado (Ca),-34.2731,-71.3717
06019005,Pichidegua,-34.2872,-71.4058
06023000,Glaciar Universidad En Rio San Andres,-34.7197,-70.3592
06027001,Rio Claro En El Valle,-34.6867,-70.8739
06027003,La Rufina,-34.7428,-70.7519
06028001,Rio Tinguiririca Bajo Los Briones,-34.7186,-70.8267
06034003,Convento Viejo,-34.7694,-71.1331
06036001,La Candelaria,-34.7808,-71.4142
06040001,Villa Alhue,-34.035,-71.0944
06042004,Barrera Loncha,-34.0833,-71.1886
06044001,Cocalan,-34.2033,-71.2764
06055003,Litueche,-34.1206,-71.7258
06056003,Rapel,-33.9458,-71.7336
06120001,Pichilemu,-34.3844,-72.0044
06130001,El Membrillo,-34.8056,-71.6289
06130002,Ranguili,-34.8661,-71.7486
06130003,La Palma,-34.9514,-71.5856
06132002,Nilahue Barahona,-34.5742,-71.7653
07103003,Los Quees,-35.0008,-70.8119
07104002,Rio Teno Despues De Junta Con Claro,-34.9961,-70.8206
07104005,El Manzano,-34.9633,-70.9178
07106007,Santa Susana,-34.9114,-71.0353
07115001,Rio Palos En Junta Con Colorado,-35.2744,-71.0156
07116004,Monte Oscuro,-35.1242,-70.9747
07116005,Potrero Grande,-35.1833,-71.0978
07118003,Curico,-34.9811,-71.2361
07119007,Lontue,-35.0422,-71.2906
07120002,Laguna De Torca,-34.7675,-72.065
07121003,Villa Prat,-35.0969,-71.6139
07123001,Rio Mataquito En Licanten,-34.9844,-72.01
07200001,Gualleco,-35.2439,-71.98
07210001,Putu,-35.2183,-72.2833
07301001,Los Condores,-36.0106,-70.5589
07303000,Rio Maule En Los BaÑOs,-35.8197,-70.7606
07306001,Rio Cipreses En Dasague Laguna La Invernada,-35.7381,-70.7778
07317005,Rio Melado En El Salto,-35.8842,-71.0192
07320002,Armerillo,-35.7011,-71.0772
07320003,Rio Claro En San Carlos,-35.6989,-71.0683
07321002,Rio Maule En Armerillo,-35.7061,-71.1139
07330001,Rio Perquilauquen En San Manuel,-36.3758,-71.6233
07331002,Digua Embalse,-36.2558,-71.5481
07332003,San Manuel En Perquilauquen,-36.3581,-71.6494
07335004,Quella,-36.0572,-72.0892
07336003,El Alamo,-36.1128,-72.4214
07337002,Tutuven Embalse,-35.8967,-72.3736
07340002,La Estrella,-35.7825,-72.1869
07340003,Los Huinganes En Curipeumo,-35.9844,-71.9122
07341002,Nirivilo,-35.5389,-72.0914
07342002,Huerta Del Maule,-35.6614,-71.9461
07345001,Parral,-36.1878,-71.8283
07350001,Rio Longavi En La Quiriquina,-36.2303,-71.4569
07350006,Bullileo Embalse,-36.285,-71.4142
07350007,Embalse Bullileo (Lago),-36.2972,-71.4083
07352002,La Sexta De Longavi,-36.1128,-71.6156
07352003,Liguay,-35.9478,-71.6842
07353001,Juan Amigo,-36.0758,-71.3908
07355002,Rio Ancoa En El Morro,-35.9086,-71.2981
07355006,Hornillo,-35.8672,-71.1172
07355007,Ancoa Embalse,-35.9106,-71.2958
07357003,Melozal,-35.7856,-71.7664
07358007,Linares,-35.8381,-71.5953
07358008,Colbun (Maule Sur),-35.6242,-71.4022
07359001,Rio Loncomilla En Las Brisas,-35.6169,-71.7678
07359005,San Javier,-35.595,-71.6572
07370001,Fundo El Radal,-35.4189,-71.0431
07371002,Agua Fria,-35.3131,-71.0983
07373003,El Guindo,-35.2578,-71.3239
07373004,San Rafael,-35.3064,-71.5233
07374004,Vilches Alto,-35.5931,-71.0869
07374005,Huapi,-35.4864,-71.2931
07376002,El Durazno,-35.4925,-71.3183
07378002,Talca U.C.,-35.4358,-71.6197
07378003,Colorado,-35.6381,-71.2606
07379002,Rio Claro En Rauquen,-35.4525,-71.7333
07381003,Pencahue,-35.3725,-71.8325
07383001,Rio Maule En Forel,-35.4069,-72.2083
07384002,Constitucion,-35.3242,-72.4089
08104001,Rio Sauces Antes Junta Con ÑUble,-36.6653,-71.2739
08105004,Caracol,-36.6511,-71.395
08105005,Caman,-36.6731,-71.2989
08106002,Rio Uble En San Fabian N 2,-36.5856,-71.5256
08106003,San Fabian,-36.5836,-71.5247
08113001,Coihueco Embalse,-36.6408,-71.7989
08117002,Chillan Viejo,-36.6319,-72.1267
08117006,Rio Chillan En Esperanza N 2,-36.8,-71.6608
08117009,Canal De La Luz En Chillan,-36.5967,-72.1003
08118003,Millauquen,-36.3183,-72.04
08118004,San Agustin De Puual,-36.4214,-72.3944
08119002,Rio ÑUble En Confluencia,-36.6333,-72.45
08122002,Trupan,-37.2806,-71.8228
08122003,Tucapel,-37.2936,-71.9519
08123004,Cholguan,-37.1528,-72.0669
08124004,Las Cruces,-37.1114,-71.765
08124005,Mayulermo,-36.8189,-71.8944
08130002,Rio Diguillin En San Lorenzo (Atacalco),-36.9244,-71.5756
