codigo_estacion;nombre;latitud;longitud;comuna;provincia;region;pais
08350002;Laguna Malleco;-38.2156;-71.8106;Curacautin;Malleco Province;Araucania;Chile
08351001;Rio Malleco En Collipulli;-37.9647;-72.4361;Collipulli;Malleco Province;Araucania;Chile
08353001;Ercilla (Vida Nueva);-38.0442;-72.4611;Ercilla;Malleco;Araucanía;Chile
08358002;Angol (La Mona);-37.7794;-72.6372;Angol;Malleco Province;Araucania;Chile
08358004;Poco A Poco;-37.88;-71.9867;Mulchén;Biobio;Bío Bío;Chile
08358005;Parque Nahuelbuta;-37.8233;-72.9606;Angol;Malleco Province;Araucania;Chile
08364001;Las Achiras;-37.3806;-72.3661;Los Ángeles;Biobio;Bío Bío;Chile
08366002;Estero Quilque En Los Angeles;-37.4561;-72.3272;Los Ángeles;Biobio;Bío Bío;Chile
08367001;Laja;-37.2772;-72.7164;Laja;Biobio;Bío Bío;Chile
08381003;Rio Laja Ag.Arr. Del Salto (Rec.R.Laja);-37.2119;-72.3242;Los Ángeles;Biobio;Bío Bío;Chile
08393002;Estero Hualqui En Desembocadura;-36.9825;-72.9414;Hualqui;Concepcion;Bío Bío;Chile
08394001;Rio Biobio En Desembocadura;-36.8386;-73.0619;Concepción;Concepcion;Bío Bío;Chile
08410001;Concepcion Dga.;-36.8333;-73.1;San Pedro de la Paz;Concepcion;Bío Bío;Chile
08520000;Caranpangue;-37.2553;-73.2431;Arauco;Arauco;Bío Bío;Chile
08700001;Curanilahue;-37.485;-73.3317;Curanilahue;Arauco;Bío Bío;Chile
08700002;Rio Curanilahue En Curanilahue;-37.4833;-73.3369;Curanilahue;Arauco;Bío Bío;Chile
08700003;Estero Plegarias Antes De Jta Rio Curanilahue;-37.4878;-73.3442;Curanilahue;Arauco;Bío Bío;Chile
08821005;Caete;-37.7983;-73.3914;Cañete;Arauco;Bío Bío;Chile
08821006;Rio Leiva En Puente Camino A Contulmo;-37.8131;-73.3922;Cañete;Arauco;Bío Bío;Chile
08822008;Contulmo;-38.0186;-73.23;Contulmo;Arauco Province;Bio Bio;Chile
08930000;Tirua;-38.3433;-73.4922;Tirúa;Arauco;Bío Bío;Chile
09101001;Rio Puren En Tranaman;-38.0333;-73.0167;Puren;Malleco Province;Araucania;Chile
09101003;Tranaman;-38.0214;-73.0067;Puren;Malleco Province;Araucania;Chile
09102003;Lumaco;-38.1636;-72.9039;Lumaco;Malleco;Araucanía;Chile
09104003;Las Mercedes (Victoria);-38.2461;-72.2289;Victoria;Malleco;Araucanía;Chile
09105002;Traiguen;-38.2561;-72.6536;Traiguen;Malleco Province;Araucania;Chile
09111002;Quillen;-38.4642;-72.3867;Perquenco;Cautín;Araucanía;Chile
09112000;Perquenco;-38.4211;-72.3775;Perquenco;Cautín;Araucanía;Chile
09113003;Galvarino;-38.4133;-72.7772;Galvarino;Cautín;Araucanía;Chile
09114001;La Cabaa;-38.4942;-73.2408;Carahue;Cautín Province;Araucania;Chile
09116001;Rio Cholchol En Cholchol;-38.6081;-72.8478;Cholchol;Cautín;Araucanía;Chile
